country,date,GDP
Austria,2015-01-01,379546097300.633
Austria,2014-01-01,438556021078.034
Austria,2013-01-01,426580502769.417
Austria,2012-01-01,406750487603.59
Austria,2011-01-01,428954737064.057
Austria,2010-01-01,389827789217.634
Belgium,2024-01-01,671370081636.406
Belgium,2023-01-01,651330595110.011
Belgium,2022-01-01,591085783326.267
Belgium,2021-01-01,598522422241.851
Belgium,2020-01-01,529694473501.791
Belgium,2019-01-01,536726344405.489
Belgium,2018-01-01,542638913427.921
Belgium,2017-01-01,500908767351.53
Belgium,2016-01-01,474271566739.729
Belgium,2015-01-01,461044767544.531
Belgium,2014-01-01,537987419164.351
Belgium,2013-01-01,524097026598.55
Belgium,2012-01-01,498414364944.961
Belgium,2011-01-01,527196649048.639
Belgium,2010-01-01,481556503720.001
Bangladesh,2024-01-01,450119432068.852
Bangladesh,2023-01-01,437415333018.291
Bangladesh,2022-01-01,460131689083.083
Bangladesh,2021-01-01,416271647911.014
Bangladesh,2020-01-01,373979442362.193
Bangladesh,2019-01-01,351231654603.692
Bangladesh,2018-01-01,321362752441.78
Bangladesh,2017-01-01,293732446624.596
Bangladesh,2016-01-01,265224515675.034
Bangladesh,2015-01-01,195146608978.131
Bangladesh,2014-01-01,172886611653.786
Bangladesh,2013-01-01,149998957434.186
Bangladesh,2012-01-01,133310747603.483
Bangladesh,2011-01-01,128607482310.357
Bangladesh,2010-01-01,115275540051.262
Brazil,2024-01-01,2185821648943.86
Brazil,2023-01-01,2191131869706.02
Brazil,2022-01-01,1951923832083.87
Brazil,2021-01-01,1670647464062.96
Brazil,2020-01-01,1476107292151.95
Brazil,2019-01-01,1873288158838.63
Brazil,2018-01-01,1916933708352.71
Brazil,2017-01-01,2063514688805.78
Brazil,2016-01-01,1795693265999.04
Brazil,2015-01-01,1802211999456.42
Brazil,2014-01-01,2456043766032.38
Brazil,2013-01-01,2472819362043.74
Brazil,2012-01-01,2465228293706.86
Brazil,2011-01-01,2616156606579.21
Brazil,2010-01-01,2208838108484.35
Canada,2024-01-01,2243636826633.76
Canada,2023-01-01,2173339670064.33
Canada,2022-01-01,2190411080134.32
Canada,2021-01-01,2022378748423.23
Canada,2020-01-01,1655684730000.19
Canada,2019-01-01,1743725183672.52
Canada,2018-01-01,1725329192783.02
Canada,2017-01-01,1649265644244.09
Canada,2016-01-01,1527994741907.43
Canada,2015-01-01,1556508816217.14
Canada,2014-01-01,1805749878439.94
Canada,2013-01-01,1846597421834.98
Canada,2012-01-01,1828366481521.6
Canada,2011-01-01,1793326630174.52
Canada,2010-01-01,1617343367486.26
Switzerland,2024-01-01,936564198048.516
Switzerland,2023-01-01,894424821645.205
Switzerland,2022-01-01,828508926958.393
Switzerland,2021-01-01,815309330986.719
Switzerland,2020-01-01,741999406005.627
Switzerland,2019-01-01,721369112726.724
Switzerland,2018-01-01,725568717468.001
Switzerland,2017-01-01,695200833086.499
Switzerland,2016-01-01,687895460902.713
Switzerland,2015-01-01,694118186379.628
Switzerland,2014-01-01,726537808338.0
Switzerland,2013-01-01,706234937370.968
Switzerland,2012-01-01,686420221557.99
Switzerland,2011-01-01,715888126682.396
Switzerland,2010-01-01,598851028906.58
Chile,2024-01-01,330267137371.592
Chile,2023-01-01,335518054097.637
Chile,2022-01-01,301226575540.242
Chile,2021-01-01,315325547162.072
Chile,2020-01-01,254042159309.311
Chile,2019-01-01,278285058719.466
Chile,2018-01-01,295857562991.709
Chile,2017-01-01,276154259981.097
Chile,2016-01-01,249344863928.438
Chile,2015-01-01,242450355830.884
Chile,2014-01-01,259560978224.359
Chile,2013-01-01,277395018842.417
Chile,2012-01-01,267024782486.855
Chile,2011-01-01,251382573893.87
Chile,2010-01-01,217051209238.534
China,2024-01-01,18743803170827.2
China,2023-01-01,18270356654533.2
China,2022-01-01,18316765021690.2
China,2021-01-01,18201698719564.0
China,2020-01-01,14996414166715.1
China,2019-01-01,14560167101283.4
China,2018-01-01,14147765772963.8
China,2017-01-01,12537559062282.9
China,2016-01-01,11456024084962.0
China,2015-01-01,11280814787468.9
China,2014-01-01,10674533168257.4
China,2013-01-01,9743124247267.24
China,2012-01-01,8673664713189.24
China,2011-01-01,7671757207851.29
China,2010-01-01,6192564874453.29
Colombia,2024-01-01,418818154879.271
Colombia,2023-01-01,366291836137.916
Colombia,2022-01-01,345632492851.448
Colombia,2021-01-01,318524633225.395
Colombia,2020-01-01,270348342541.465
Colombia,2019-01-01,323031701192.84
Colombia,2018-01-01,334198218098.276
Colombia,2017-01-01,311866875156.879
Colombia,2016-01-01,282720100286.228
Colombia,2015-01-01,293492370193.166
Colombia,2014-01-01,381240864422.407
Colombia,2013-01-01,382093697077.685
Colombia,2012-01-01,370691143018.039
Colombia,2011-01-01,334966134804.887
Colombia,2010-01-01,286498534094.963
Czechia,2024-01-01,347034062928.479
Czechia,2023-01-01,345059295659.911
Czechia,2022-01-01,301831228325.556
Czechia,2021-01-01,290972714482.313
Czechia,2020-01-01,251109660602.536
Czechia,2019-01-01,256794209028.77
Czechia,2018-01-01,251992360762.236
Czechia,2017-01-01,221563575696.217
Czechia,2016-01-01,198160659303.939
Czechia,2015-01-01,189107698561.919
Czechia,2014-01-01,210911285077.683
Czechia,2013-01-01,213024360541.119
Czechia,2012-01-01,210363223087.728
Czechia,2011-01-01,231429378717.312
Czechia,2010-01-01,211168667286.27
Germany,2024-01-01,4685592577804.69
Germany,2023-01-01,4562207532490.28
Germany,2022-01-01,4201021706478.62
Germany,2021-01-01,4355251953410.78
Germany,2020-01-01,3941398957073.94
Germany,2019-01-01,3959894794039.21
Germany,2018-01-01,4055433215301.96
Germany,2017-01-01,3765351626105.89
Germany,2016-01-01,3536787895179.0
Germany,2015-01-01,3425099578746.09
Germany,2014-01-01,3964870735760.77
Germany,2013-01-01,3807023797050.99
Germany,2012-01-01,3596483233406.25
Germany,2011-01-01,3823575803793.78
Germany,2010-01-01,3467093769666.67
Denmark,2024-01-01,424524722037.047
Denmark,2023-01-01,404651706117.557
Denmark,2022-01-01,400114306337.077
Denmark,2021-01-01,406110162088.054
Denmark,2020-01-01,355631021931.621
Denmark,2019-01-01,345401473012.615
Denmark,2018-01-01,355293374912.393
Denmark,2017-01-01,331610593961.988
Denmark,2016-01-01,312181849372.233
Denmark,2015-01-01,301758922337.637
Denmark,2014-01-01,352832602064.452
Denmark,2013-01-01,344631016965.12
Denmark,2012-01-01,326792574244.963
Denmark,2011-01-01,344315595263.175
Denmark,2010-01-01,322345594075.47
"Egypt, Arab Rep.",2024-01-01,389059911003.566
"Egypt, Arab Rep.",2023-01-01,395926075163.006
"Egypt, Arab Rep.",2022-01-01,476747720364.742
"Egypt, Arab Rep.",2021-01-01,424671765455.704
"Egypt, Arab Rep.",2020-01-01,383817841547.099
"Egypt, Arab Rep.",2019-01-01,318678815489.749
"Egypt, Arab Rep.",2018-01-01,262588632526.73
"Egypt, Arab Rep.",2017-01-01,248362771739.13
"Egypt, Arab Rep.",2016-01-01,332441717791.411
"Egypt, Arab Rep.",2015-01-01,329366576819.407
"Egypt, Arab Rep.",2014-01-01,305595408895.265
"Egypt, Arab Rep.",2013-01-01,288434108527.132
"Egypt, Arab Rep.",2012-01-01,279116666666.667
"Egypt, Arab Rep.",2011-01-01,235989672977.625
"Egypt, Arab Rep.",2010-01-01,218983666061.706
Spain,2024-01-01,1725671652742.19
Spain,2023-01-01,1619481980719.64
Spain,2022-01-01,1448850658406.62
Spain,2021-01-01,1461244901852.69
Spain,2020-01-01,1289783836971.21
Spain,2019-01-01,1403496387686.27
Spain,2018-01-01,1431642809327.06
Spain,2017-01-01,1321754088818.83
Spain,2016-01-01,1243015667917.12
Spain,2015-01-01,1206164777553.12
Spain,2014-01-01,1380244561361.96
Spain,2013-01-01,1362186923157.65
Spain,2012-01-01,1330994811670.31
Spain,2011-01-01,1487568659241.25
Spain,2010-01-01,1427989078916.67
Finland,2024-01-01,298696961297.656
Finland,2023-01-01,295021982462.75
Finland,2022-01-01,280253099309.34
Finland,2021-01-01,294223210496.119
Finland,2020-01-01,270000311606.226
Finland,2019-01-01,267014821129.411
Finland,2018-01-01,273869255596.078
Finland,2017-01-01,253846138440.0
Finland,2016-01-01,238777818792.608
Finland,2015-01-01,233210733506.25
Finland,2014-01-01,273478528954.901
Finland,2013-01-01,270268036626.275
Finland,2012-01-01,257443384492.969
Finland,2011-01-01,275126915515.565
Finland,2010-01-01,249429613683.334
France,2024-01-01,3160442622465.08
France,2023-01-01,3056250648138.29
France,2022-01-01,2794788137066.94
France,2021-01-01,2966433692008.09
France,2020-01-01,2647926055110.05
France,2019-01-01,2722793515171.76
France,2018-01-01,2781576320884.39
France,2017-01-01,2588868323334.71
France,2016-01-01,2470407619777.13
France,2015-01-01,2442483452642.5
France,2014-01-01,2861236112552.42
France,2013-01-01,2816077607875.26
France,2012-01-01,2683007095787.23
France,2011-01-01,2870408553990.28
France,2010-01-01,2646230027988.34
United Kingdom,2024-01-01,3686033044482.13
United Kingdom,2023-01-01,3420796653789.08
United Kingdom,2022-01-01,3181244350465.41
United Kingdom,2021-01-01,3194559188925.93
United Kingdom,2020-01-01,2724001478304.59
United Kingdom,2019-01-01,2875710080015.3
United Kingdom,2018-01-01,2897028009916.05
United Kingdom,2017-01-01,2699118387873.1
United Kingdom,2016-01-01,2706807606538.73
United Kingdom,2015-01-01,2945579890258.46
United Kingdom,2014-01-01,3085362169410.29
United Kingdom,2013-01-01,2796908333283.39
United Kingdom,2012-01-01,2719715961539.83
United Kingdom,2011-01-01,2675590034128.66
United Kingdom,2010-01-01,2496740681057.14
"Hong Kong SAR, China",2024-01-01,406863396487.342
"Hong Kong SAR, China",2023-01-01,381043026173.935
"Hong Kong SAR, China",2022-01-01,358679533984.718
"Hong Kong SAR, China",2021-01-01,368954169748.818
"Hong Kong SAR, China",2020-01-01,344943149590.058
"Hong Kong SAR, China",2019-01-01,363074545072.389
"Hong Kong SAR, China",2018-01-01,361731070995.726
"Hong Kong SAR, China",2017-01-01,341273289534.466
"Hong Kong SAR, China",2016-01-01,320860317562.562
"Hong Kong SAR, China",2015-01-01,309385622601.348
"Hong Kong SAR, China",2014-01-01,291459995978.893
"Hong Kong SAR, China",2013-01-01,275696879834.966
"Hong Kong SAR, China",2012-01-01,262628865879.697
"Hong Kong SAR, China",2011-01-01,248513617677.287
"Hong Kong SAR, China",2010-01-01,228638668727.291
Indonesia,2024-01-01,1396300098190.97
Indonesia,2023-01-01,1371169301563.62
Indonesia,2022-01-01,1319101183380.15
Indonesia,2021-01-01,1186509691086.73
Indonesia,2020-01-01,1059054842698.48
Indonesia,2019-01-01,1119099871350.2
Indonesia,2018-01-01,1042271532988.63
Indonesia,2017-01-01,1015618744159.73
Indonesia,2016-01-01,931877364037.698
Indonesia,2015-01-01,860854232686.214
Indonesia,2014-01-01,890814755533.537
Indonesia,2013-01-01,912524136718.018
Indonesia,2012-01-01,917869913332.649
Indonesia,2011-01-01,892969104563.171
Indonesia,2010-01-01,755094157621.936
India,2024-01-01,3909891533858.08
India,2023-01-01,3638489096033.86
India,2022-01-01,3346107287730.93
India,2021-01-01,3167270623260.47
India,2020-01-01,2674851578587.27
India,2019-01-01,2835606256558.19
India,2018-01-01,2702929641648.74
India,2017-01-01,2651474262755.45
India,2016-01-01,2294796885663.16
India,2015-01-01,2103588360044.94
India,2014-01-01,2039126479154.52
India,2013-01-01,1856721507621.58
India,2012-01-01,1827637590410.41
India,2011-01-01,1823051829894.55
India,2010-01-01,1675615519484.96
Ireland,2024-01-01,609157459747.205
Ireland,2023-01-01,567372737459.116
Ireland,2022-01-01,548341794599.09
Ireland,2021-01-01,530394123829.763
Ireland,2020-01-01,436009027818.948
Ireland,2019-01-01,407211793800.713
Ireland,2018-01-01,395780319816.603
Ireland,2017-01-01,348355212568.515
Ireland,2016-01-01,305431252708.748
Ireland,2015-01-01,302101388556.271
Ireland,2014-01-01,266490442124.309
Ireland,2013-01-01,242924245718.756
Ireland,2012-01-01,226921827888.137
Ireland,2011-01-01,240975871046.644
Ireland,2010-01-01,221732824603.484
"Iran, Islamic Rep.",2024-01-01,475252089215.416
"Iran, Islamic Rep.",2023-01-01,457510482317.483
"Iran, Islamic Rep.",2022-01-01,422662261525.665
"Iran, Islamic Rep.",2021-01-01,407350685583.335
"Iran, Islamic Rep.",2020-01-01,280934329279.723
"Iran, Islamic Rep.",2019-01-01,347988400957.999
"Iran, Islamic Rep.",2018-01-01,411903303606.044
"Iran, Islamic Rep.",2017-01-01,510239893417.645
"Iran, Islamic Rep.",2016-01-01,478618064870.999
"Iran, Islamic Rep.",2015-01-01,409191686496.677
"Iran, Islamic Rep.",2014-01-01,462284793280.825
"Iran, Islamic Rep.",2013-01-01,500399839839.877
"Iran, Islamic Rep.",2012-01-01,644019315003.54
"Iran, Islamic Rep.",2011-01-01,629082257472.368
"Iran, Islamic Rep.",2010-01-01,487069570463.768
Iraq,2024-01-01,279641257615.385
Iraq,2023-01-01,268881051643.549
Iraq,2022-01-01,287372232137.931
Iraq,2021-01-01,209691945713.103
Iraq,2020-01-01,180898797516.874
Iraq,2019-01-01,233636097800.338
Iraq,2018-01-01,227367469034.031
Iraq,2017-01-01,187217660050.676
Iraq,2016-01-01,166743557747.671
Iraq,2015-01-01,166774104959.102
Iraq,2014-01-01,228415656174.957
Iraq,2013-01-01,234637675128.645
Iraq,2012-01-01,218002476129.472
Iraq,2011-01-01,185749664444.444
Iraq,2010-01-01,138516722649.573
Israel,2024-01-01,540379921261.681
Israel,2023-01-01,512184638998.974
Israel,2022-01-01,525181008025.57
Israel,2021-01-01,489851549972.347
Israel,2020-01-01,410768352657.612
Israel,2019-01-01,400645216358.857
Israel,2018-01-01,376299083108.497
Israel,2017-01-01,358451839052.991
Israel,2016-01-01,321940971558.016
Israel,2015-01-01,303469434072.296
Israel,2014-01-01,315017088116.716
Israel,2013-01-01,298478070673.058
Israel,2012-01-01,263589172712.391
Israel,2011-01-01,268094998225.028
Israel,2010-01-01,239679036634.372
Italy,2024-01-01,2380825077243.59
Italy,2023-01-01,2316727999333.18
Italy,2022-01-01,2104067630319.46
Italy,2021-01-01,2179207773596.09
Italy,2020-01-01,1907481094079.23
Italy,2019-01-01,2019606796583.53
Italy,2018-01-01,2099435266458.67
Italy,2017-01-01,1970720904584.71
Italy,2016-01-01,1887111188176.93
Italy,2015-01-01,1845428048839.1
Italy,2014-01-01,2173255507985.84
Italy,2013-01-01,2153225581941.46
Italy,2012-01-01,2097929495121.68
Italy,2011-01-01,2306974020278.21
Italy,2010-01-01,2144936254535.0
Japan,2024-01-01,4027597523550.58
Japan,2023-01-01,4213167237905.83
Japan,2022-01-01,4262463317796.53
Japan,2021-01-01,5039148168861.22
Japan,2020-01-01,5054068005376.28
Japan,2019-01-01,5117993853016.51
Japan,2018-01-01,5040880939324.86
Japan,2017-01-01,4930837369151.42
Japan,2016-01-01,5003677627544.24
Japan,2015-01-01,4444930651964.18
Japan,2014-01-01,4896994405353.29
Japan,2013-01-01,5212328181166.18
Japan,2012-01-01,6272362996105.03
Japan,2011-01-01,6233147172341.35
Japan,2010-01-01,5759071769013.11
"Korea, Rep.",2024-01-01,1875388209406.8
"Korea, Rep.",2023-01-01,1844800934391.54
"Korea, Rep.",2022-01-01,1799363116866.52
"Korea, Rep.",2021-01-01,1942313560965.9
"Korea, Rep.",2020-01-01,1744070276373.34
"Korea, Rep.",2019-01-01,1751045752054.63
"Korea, Rep.",2018-01-01,1824251454306.83
"Korea, Rep.",2017-01-01,1710196756713.17
"Korea, Rep.",2016-01-01,1579150518945.44
"Korea, Rep.",2015-01-01,1539212301135.55
"Korea, Rep.",2014-01-01,1556252422020.44
"Korea, Rep.",2013-01-01,1434669686501.84
"Korea, Rep.",2012-01-01,1335343586437.67
"Korea, Rep.",2011-01-01,1307103477219.1
"Korea, Rep.",2010-01-01,1192830015737.68
Mexico,2024-01-01,1856365616165.94
Mexico,2023-01-01,1798317581486.88
Mexico,2022-01-01,1466934724293.06
Mexico,2021-01-01,1316569466685.95
Mexico,2020-01-01,1121064767308.42
Mexico,2019-01-01,1304106203902.45
Mexico,2018-01-01,1256300182879.73
Mexico,2017-01-01,1190721475906.0
Mexico,2016-01-01,1112233497452.7
Mexico,2015-01-01,1213294467716.88
Mexico,2014-01-01,1364507717614.13
Mexico,2013-01-01,1327436290282.67
Mexico,2012-01-01,1255110424817.79
Mexico,2011-01-01,1229013703416.76
Mexico,2010-01-01,1105424238731.09
Malaysia,2024-01-01,422227005428.688
Malaysia,2023-01-01,399949418752.657
Malaysia,2022-01-01,407830525989.553
Malaysia,2021-01-01,373784553029.978
Malaysia,2020-01-01,337456163961.211
Malaysia,2019-01-01,365177721021.516
Malaysia,2018-01-01,358788845712.53
Malaysia,2017-01-01,319109094160.343
Malaysia,2016-01-01,301256033870.334
Malaysia,2015-01-01,301355266964.947
Malaysia,2014-01-01,338066095097.254
Malaysia,2013-01-01,323276235524.415
Malaysia,2012-01-01,314443047642.111
Malaysia,2011-01-01,297951668674.835
Malaysia,2010-01-01,255017638455.59
Nigeria,2024-01-01,252261880141.151
Nigeria,2023-01-01,487387801880.597
Nigeria,2022-01-01,646950257577.814
Nigeria,2021-01-01,609147716972.859
Nigeria,2020-01-01,598586817819.073
Nigeria,2019-01-01,668219992691.462
Nigeria,2018-01-01,421739251509.08
Nigeria,2017-01-01,375745731053.427
Nigeria,2016-01-01,404649125252.16
Nigeria,2015-01-01,493026682800.63
Nigeria,2014-01-01,574183763411.508
Nigeria,2013-01-01,520117180313.906
Nigeria,2012-01-01,463971018239.281
Nigeria,2011-01-01,414466676831.16
Nigeria,2010-01-01,366990417129.04
Netherlands,2024-01-01,1214927698572.66
Netherlands,2023-01-01,1135475867551.0
Netherlands,2022-01-01,1046540797548.64
Netherlands,2021-01-01,1054472123449.6
Netherlands,2020-01-01,932560861701.17
Netherlands,2019-01-01,928903005576.469
Netherlands,2018-01-01,929733599796.862
Netherlands,2017-01-01,848233537845.884
Netherlands,2016-01-01,797163949289.885
Netherlands,2015-01-01,775743675302.734
Netherlands,2014-01-01,901556501756.467
Netherlands,2013-01-01,883951539006.669
Netherlands,2012-01-01,845689017065.625
Netherlands,2011-01-01,913140741332.687
Netherlands,2010-01-01,852464982433.335
Norway,2024-01-01,483592648313.301
Norway,2023-01-01,482949731776.587
Norway,2022-01-01,596297651035.798
Norway,2021-01-01,503367986030.268
Norway,2020-01-01,367633418886.627
Norway,2019-01-01,408742840909.091
Norway,2018-01-01,439788625883.8
Norway,2017-01-01,401745275035.261
Norway,2016-01-01,370956547619.048
Norway,2015-01-01,388159512245.53
Norway,2014-01-01,501736471832.848
Norway,2013-01-01,526014468085.106
Norway,2012-01-01,512777309840.997
Norway,2011-01-01,501360549669.404
Norway,2010-01-01,431052143940.438
Pakistan,2024-01-01,371570000121.266
Pakistan,2023-01-01,336686348609.266
Pakistan,2022-01-01,374890295666.694
Pakistan,2021-01-01,348516647445.148
Pakistan,2020-01-01,300425609817.981
Pakistan,2019-01-01,320909472770.669
Pakistan,2018-01-01,356128166704.921
Pakistan,2017-01-01,339205534861.1
Pakistan,2016-01-01,313630000130.435
Pakistan,2015-01-01,299963590534.773
Pakistan,2014-01-01,271390474857.632
Pakistan,2013-01-01,258657231672.412
Pakistan,2012-01-01,250106966104.704
Pakistan,2011-01-01,230586581059.665
Pakistan,2010-01-01,196709621849.586
Peru,2024-01-01,289221969062.941
Peru,2023-01-01,266958720837.988
Peru,2022-01-01,246065570308.155
Peru,2021-01-01,226328766459.634
Peru,2020-01-01,201409694755.934
Peru,2019-01-01,228346006003.648
Peru,2018-01-01,222597009739.235
Peru,2017-01-01,211007984080.911
Peru,2016-01-01,191898104390.379
Peru,2015-01-01,189802976285.619
Peru,2014-01-01,200786250582.943
Peru,2013-01-01,201175543571.392
Peru,2012-01-01,192650021648.583
Peru,2011-01-01,171761737046.585
Peru,2010-01-01,147527631520.729
Philippines,2024-01-01,461617509782.355
Philippines,2023-01-01,437055627244.424
Philippines,2022-01-01,404353369604.631
Philippines,2021-01-01,394087359848.11
Philippines,2020-01-01,361751145451.597
Philippines,2019-01-01,376823402239.136
Philippines,2018-01-01,346841896587.313
Philippines,2017-01-01,328480736802.76
Philippines,2016-01-01,318627003016.731
Philippines,2015-01-01,306445871242.322
Philippines,2014-01-01,297483555338.044
Philippines,2013-01-01,283902828588.718
Philippines,2012-01-01,261920540962.63
Philippines,2011-01-01,234216730291.32
Philippines,2010-01-01,208368893151.144
Poland,2024-01-01,917767106146.761
Poland,2023-01-01,812451193396.143
Poland,2022-01-01,695607470875.276
Poland,2021-01-01,689170230665.35
Poland,2020-01-01,605914237903.742
Poland,2019-01-01,602683770144.88
Poland,2018-01-01,594616687350.017
Poland,2017-01-01,528356676667.211
Poland,2016-01-01,473259583969.643
Poland,2015-01-01,480054118583.367
Poland,2014-01-01,542134167178.627
Poland,2013-01-01,518179836405.36
Poland,2012-01-01,498148649702.66
Poland,2011-01-01,527848543023.469
Poland,2010-01-01,478111630683.514
Portugal,2024-01-01,313271185085.102
Portugal,2023-01-01,292323800948.839
Portugal,2022-01-01,256898677175.024
Portugal,2021-01-01,256055879091.139
Portugal,2020-01-01,229618773422.577
Portugal,2019-01-01,240115970063.019
Portugal,2018-01-01,242092894542.888
Portugal,2017-01-01,220862990767.229
Portugal,2016-01-01,206305431241.638
Portugal,2015-01-01,199038523119.639
Portugal,2014-01-01,230078616299.675
Portugal,2013-01-01,226677408291.745
Portugal,2012-01-01,216536676771.973
Portugal,2011-01-01,245426767676.002
Portugal,2010-01-01,238443864993.217
Romania,2024-01-01,382564217988.866
Romania,2023-01-01,347757995758.914
Romania,2022-01-01,295319437556.988
Romania,2021-01-01,285071280114.469
Romania,2020-01-01,250625048303.578
Romania,2019-01-01,250080428511.595
Romania,2018-01-01,241791427223.903
Romania,2017-01-01,210147385855.419
Romania,2016-01-01,185290759248.844
Romania,2015-01-01,177885131240.315
Romania,2014-01-01,199722319675.741
Romania,2013-01-01,189798603751.235
Romania,2012-01-01,179117323107.087
Romania,2011-01-01,192623977894.173
Romania,2010-01-01,170064350671.827
Russian Federation,2024-01-01,2173835806671.66
Russian Federation,2023-01-01,2071505725030.58
Russian Federation,2022-01-01,2291612121334.64
Russian Federation,2021-01-01,1829186719575.1
Russian Federation,2020-01-01,1493075894362.14
Russian Federation,2019-01-01,1693115002708.32
Russian Federation,2018-01-01,1657328773461.31
Russian Federation,2017-01-01,1574199360089.0
Russian Federation,2016-01-01,1276786350881.14
Russian Federation,2015-01-01,1363482182197.71
Russian Federation,2014-01-01,2059241589895.01
Russian Federation,2013-01-01,2292470078346.22
Russian Federation,2012-01-01,2208293553878.42
Russian Federation,2011-01-01,2045922753398.04
Russian Federation,2010-01-01,1524916715223.95
Saudi Arabia,2024-01-01,1239804533333.33
Saudi Arabia,2023-01-01,1218584533333.33
Saudi Arabia,2022-01-01,1239075200000.0
Saudi Arabia,2021-01-01,982661066666.667
Saudi Arabia,2020-01-01,767951200000.0
Saudi Arabia,2019-01-01,888890133333.333
Saudi Arabia,2018-01-01,886564800000.0
Saudi Arabia,2017-01-01,741266133333.333
Saudi Arabia,2016-01-01,689279466666.667
Saudi Arabia,2015-01-01,693414400000.0
Saudi Arabia,2014-01-01,787153066666.667
Saudi Arabia,2013-01-01,769755733333.333
Saudi Arabia,2012-01-01,751921333333.333
Saudi Arabia,2011-01-01,680660800000.0
Saudi Arabia,2010-01-01,528207466666.667
Singapore,2024-01-01,547386645891.847
Singapore,2023-01-01,505439514078.019
Singapore,2022-01-01,509017841146.557
Singapore,2021-01-01,436591382250.464
Singapore,2020-01-01,349165858544.568
Singapore,2019-01-01,376161998830.048
Singapore,2018-01-01,377123710560.614
Singapore,2017-01-01,343673334902.33
Singapore,2016-01-01,319646468521.497
Singapore,2015-01-01,307998545269.398
Singapore,2014-01-01,314863580758.455
Singapore,2013-01-01,307576360584.992
Singapore,2012-01-01,295092888076.589
Singapore,2011-01-01,279356499090.458
Singapore,2010-01-01,239807980591.24
Sweden,2024-01-01,603715224265.798
Sweden,2023-01-01,578990915246.07
Sweden,2022-01-01,575071237640.921
Sweden,2021-01-01,631693331300.776
Sweden,2020-01-01,544265668451.678
Sweden,2019-01-01,530894124494.418
Sweden,2018-01-01,549649344043.182
Sweden,2017-01-01,535172356784.769
Sweden,2016-01-01,513058312950.939
Sweden,2015-01-01,501602351911.6
Sweden,2014-01-01,577727767303.596
Sweden,2013-01-01,584125353119.18
Sweden,2012-01-01,549739674655.127
Sweden,2011-01-01,570538581144.45
Sweden,2010-01-01,492750897239.447
Thailand,2024-01-01,526517658841.684
Thailand,2023-01-01,515906283940.933
Thailand,2022-01-01,495644697587.661
Thailand,2021-01-01,506194668789.937
Thailand,2020-01-01,500461898480.246
Thailand,2019-01-01,543976691793.886
Thailand,2018-01-01,506754208404.485
Thailand,2017-01-01,456356813536.764
Thailand,2016-01-01,413366349747.508
Thailand,2015-01-01,401296238228.084
Thailand,2014-01-01,407339040197.651
Thailand,2013-01-01,420333654592.547
Thailand,2012-01-01,397558325278.579
Thailand,2011-01-01,370818739623.622
Thailand,2010-01-01,341104766329.17
Turkiye,2024-01-01,1359123768774.12
Turkiye,2023-01-01,1141242864657.45
Turkiye,2022-01-01,926097476913.818
Turkiye,2021-01-01,839938668172.134
Turkiye,2020-01-01,733628247119.077
Turkiye,2019-01-01,775853144222.613
Turkiye,2018-01-01,788356985773.667
Turkiye,2017-01-01,863874522365.276
Turkiye,2016-01-01,870818016909.84
Turkiye,2015-01-01,865460050683.656
Turkiye,2014-01-01,942343431928.654
